code,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,129.69,595.08,1492.17,2388.63,3080.99,3626.83,4065.94,4425.30,4726.76
ACPL,79.21,618.94,1685.23,2949.27,3956.69,4741.61,4741.61,4741.61,4741.61
ACRU,73.63,522.48,1650.96,3005.46,3989.95,3989.95,3989.95,3989.95,3989.95
ACSA1,190.92,481.72,1417.90,2734.35,3825.61,4531.56,4949.70,5400.93,5932.26
ACSA2,70.71,460.85,1481.55,2693.79,3668.39,4419.75,4999.36,5451.12,5802.14
CEOC,80.99,685.89,1906.30,3339.58,4500.70,5396.69,6080.03,6593.24,6974.57
FRAM,182.25,423.22,1333.36,2837.53,4300.73,5448.52,6213.69,6213.69,6213.69
FRPE,46.58,369.06,1372.82,2699.08,3811.08,4685.91,5367.85,5897.59,6310.71
GIBI,41.11,296.29,988.12,1892.99,2651.39,3199.18,3199.18,3199.18,3199.18
GLTR,120.29,763.36,2024.08,3336.05,4232.34,4740.76,4740.76,4740.76,4740.76
MA2,62.48,379.59,1283.18,2466.61,3162.34,3162.34,3162.34,3162.34,3162.34
PICO5,66.65,247.26,792.52,1644.35,1644.35,1644.35,1644.35,1644.35,1644.35
PINI,119.85,485.24,1019.69,1518.48,1951.75,2326.55,2326.55,2326.55,2326.55
PIPO,66.47,397.45,949.67,1463.20,1971.65,2459.56,2459.56,2459.56,2459.56
QUPA,81.90,514.61,1581.06,2839.67,3842.06,4602.00,5178.92,5616.78,5616.78
QURU,120.02,541.83,1416.67,2332.22,3059.92,3639.86,3639.86,3639.86,3639.86
TIAM,50.72,453.71,1384.93,2605.24,3638.80,4474.44,5140.77,5678.67,6114.34
TICO,41.17,392.65,1245.65,2394.03,3382.32,4190.62,4190.62,4190.62,4190.62
ULAM,14.87,193.77,1169.17,2751.77,4175.96,5284.78,6106.52,6695.56,7121.17
ULPU,45.14,354.66,1362.41,2684.39,3792.81,4656.78,5321.24,5831.39,6219.91
ILOP,152.70,397.40,916.86,1776.89,2815.51,2815.51,2815.51,2815.51,2815.51
MAGR,284.25,555.60,1269.89,2421.36,3631.77,4692.79,5503.81,6036.30,6036.30
QUNI,162.32,521.07,1399.95,2837.65,4230.95,5372.13,6226.88,6816.46,7198.64
BDL OTHER,46.58,369.06,1372.82,2699.08,3811.08,4685.91,5367.85,5897.59,6310.71
BDM OTHER,79.21,618.94,1685.23,2949.27,3956.69,4741.61,4741.61,4741.61,4741.61
BDS OTHER,62.48,379.59,1283.18,2466.61,3162.34,3162.34,3162.34,3162.34,3162.34
CEL OTHER,66.47,397.45,949.67,1463.20,1971.65,2459.56,2459.56,2459.56,2459.56
CEM OTHER,119.85,485.24,1019.69,1518.48,1951.75,2326.55,2326.55,2326.55,2326.55
CES OTHER,66.65,247.26,792.52,1644.35,1644.35,1644.35,1644.35,1644.35,1644.35
BEL OTHER,162.32,521.07,1399.95,2837.65,4230.95,5372.13,6226.88,6816.46,7198.64
BEM OTHER,284.25,555.60,1269.89,2421.36,3631.77,4692.79,5503.81,6036.30,6036.30
BES OTHER,152.70,397.40,916.86,1776.89,2815.51,2815.51,2815.51,2815.51,2815.51
