ID,POINT_X,POINT_Y,SCIENTIFIC,ADDRESS,PLOTTYPE,PLOTLENGTH,PLOTWIDTH,POWERLINE,OWNER,STEWARD,SPONSOR,DATEPLANTED,DIAMETER,HEIGHT,CANOPYHEIGHT,CONDITION,CANOPYCONDITION
560,-82.52711853,35.54018321,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,18,33,0,Unknown,Unknown
576,-82.52709842,35.53615131,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,8,35,0,Unknown,Unknown
726,-82.51350398,35.51438279,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,8,31,0,Unknown,Unknown
746,-82.51171268,35.5114466,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,12,36,0,Unknown,Unknown
752,-82.5133648,35.51139096,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,8,31,0,Unknown,Unknown
764,-82.51263712,35.51215323,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,9,33,0,Unknown,Unknown
777,-82.51214368,35.51261587,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,11,32,0,Unknown,Unknown
998,-82.52573016,35.49128666,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,12,35,0,Unknown,Unknown
1164,-82.53555579,35.49133737,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,11,40,0,Unknown,Unknown
1193,-82.53454551,35.49156898,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,05/09/2007,9,46,0,Unknown,Unknown
5062,-82.51853095,35.47438367,Prunus subhirtella ,,Unknown,0,0,False,City of Asheville,City of Asheville,City of Asheville,04/15/2009,8,10,0,Unknown,Unknown
